,Title,Datetime,Source,URL
0,Remdesivir: five Australian hospitals to receive experimental coronavirus drug,2020-05-01T00:31:31Z,Guardian,https://www.theguardian.com/australia-news/2020/may/01/remdesivir-five-australian-hospitals-to-receive-experimental-coronavirus-drug
1,Coronavirus US live: Trump boasts about sending supplies abroad as US hospitals struggle – as it happened,2020-03-31T00:28:18Z,Guardian,https://www.theguardian.com/us-news/live/2020/mar/30/coronavirus-us-live-updates-donald-trump-deaths-america-new-york-fauci
2,"US Covid-19 death toll passes 75,000 – as it happened",2020-05-07T23:58:24Z,Guardian,https://www.theguardian.com/world/live/2020/may/07/coronavirus-live-news-trump-says-covid-19-task-force-to-continue-indefinitely-as-us-china-rift-widens
3,'They're leaving us to die': Ecuadorians plead for help as virus blazes deadly trail,2020-04-03T09:30:15Z,Guardian,https://www.theguardian.com/world/2020/apr/03/theyre-leaving-us-to-die-ecuadorians-plead-for-help-as-virus-blazes-deadly-trail
4,Coronavirus patient DNA study could tell us why some fare worse,2020-05-12T23:01:23Z,Guardian,https://www.theguardian.com/science/2020/may/13/coronavirus-patient-dna-study-could-tell-us-why-some-fare-worse
5,Women are on the Covid-19 frontline – we must give them the support they need | Mark Lowcock and Natalia Kanem,2020-05-11T12:15:06Z,Guardian,https://www.theguardian.com/global-development/commentisfree/2020/may/11/women-are-on-the-covid-19-frontline-we-must-give-them-the-support-they-need
6,NHS to increase number of Covid-19 patients receiving antibody therapy,2020-05-28T13:07:43Z,Guardian,https://www.theguardian.com/science/2020/may/28/nhs-to-increase-covid-19-patients-receiving-antibody-therapy
7,BAME care home residents in England more likely to die of Covid-19,2020-06-17T15:18:29Z,Guardian,https://www.theguardian.com/world/2020/jun/17/bame-care-home-residents-in-uk-more-likely-to-die-of-covid-19
8,"Doctors, nurses, porters, volunteers: the UK health workers who have died from Covid-19",2020-05-22T14:49:40Z,Guardian,https://www.theguardian.com/world/2020/apr/16/doctors-nurses-porters-volunteers-the-uk-health-workers-who-have-died-from-covid-19
9,UK coronavirus live: Britain claps for carers on the Covid frontline - as it happened,2020-05-14T19:32:57Z,Guardian,https://www.theguardian.com/world/live/2020/may/14/uk-coronavirus-live-antibody-test-approved-for-use-latest-updates
19,"As a GP, I see how the challenge of coronavirus could help improve the NHS | Ann Robinson",2020-03-11T12:48:34Z,Guardian,https://www.theguardian.com/commentisfree/2020/mar/11/gp-coronavirus-challenge-improve-nhs-technology-hygiene
60,US secures world stock of key Covid-19 drug remdesivir,2020-06-30T18:32:03Z,Guardian,https://www.theguardian.com/us-news/2020/jun/30/us-buys-up-world-stock-of-key-covid-19-drug
61,US germ warfare research leads to new early Covid-19 test,2020-05-01T15:00:02Z,Guardian,https://www.theguardian.com/world/2020/may/01/us-germ-warfare-lab-creates-test-for-pre-infectious-covid-19-carriers
66,"US briefing: Trump denounces WHO, NY Covid-19 deaths, Wuhan lifts lockdown",2020-04-08T11:36:13Z,Guardian,https://www.theguardian.com/us-news/2020/apr/08/us-briefing-trump-denounces-who-ny-covid-19-deaths-wuhan-lifts-lockdown
67,"Hydroxychloroquine, Trump and Covid-19: what you need to know",2020-05-19T09:56:58Z,Guardian,https://www.theguardian.com/us-news/2020/may/19/hydroxychloroquine-trump-and-covid-19-what-you-need-to-know
68,"Coronavirus live: US Covid-19 death toll passes 50,000 - as it happened",2020-04-25T00:22:03Z,Guardian,https://www.theguardian.com/world/live/2020/apr/24/coronavirus-death-toll-trump-china-live-news-us-passes-480bn-relief-bill-as-ramadan-restrictions-are-imposed-indonesia
69,Covid-19 has shown the NHS can change. Let's turn that to our advantage  | Joel Schamroth,2020-05-03T11:00:50Z,Guardian,https://www.theguardian.com/commentisfree/2020/may/03/covid-19-nhs-change-radically-future-patients-staff
89,"US cases approach 2 million; Chile revises death toll to 2,290 – as it happened",2020-06-07T23:46:19Z,Guardian,https://www.theguardian.com/world/live/2020/jun/07/coronavirus-uk-to-partly-reopen-churches-australia-blm-protests-defy-health-pleas-live-updates
121,Global shortage of Covid-19 test kits hits Australia as other nations limit exports,2020-03-13T06:48:03Z,Guardian,https://www.theguardian.com/australia-news/2020/mar/13/global-shortage-of-covid-19-test-kits-hits-australia-as-other-nations-limit-exports
122,Super-rich jet off to disaster bunkers amid coronavirus outbreak,2020-03-11T19:50:36Z,Guardian,https://www.theguardian.com/world/2020/mar/11/disease-dodging-worried-wealthy-jet-off-to-disaster-bunkers
123,Revealed: millions of Americans can’t afford water as bills rise 80% in a decade,2020-06-23T09:00:42Z,Guardian,https://www.theguardian.com/us-news/2020/jun/23/millions-of-americans-cant-afford-water-bills-rise
124,"Australian Covid-19 infections pass 8,000 – as it happened",2020-07-02T09:47:11Z,Guardian,https://www.theguardian.com/australia-news/live/2020/jul/02/coronavirus-australia-live-victoria-lockdown-melbourne-hotspot-suburbs-map-latest-updates
125,'It could have been averted': How 92 residents at a San Francisco homeless shelter got Covid-19,2020-04-15T10:10:41Z,Guardian,https://www.theguardian.com/us-news/2020/apr/15/san-francisco-homeless-coronavirus-msc-shelter
126,Australia records its first Covid-19 death in a month – as it happened,2020-06-24T08:07:04Z,Guardian,https://www.theguardian.com/australia-news/live/2020/jun/24/coronavirus-australia-latest-updates-victoria-testing-melbourne-lockdown-hume-moreland-darebin-brimbank-casey-cardinia-live-news
127,"Worldwide Covid-19 deaths pass 290,000 – as it happened",2020-05-12T23:33:59Z,Guardian,https://www.theguardian.com/world/live/2020/may/12/coronavirus-live-news-donald-trump-covid-19-lockdowns-who-russia-deaths-restrictions
128,Matt Hancock calls for more volunteers to take part in 'essential' clinical trials – as it happened,2020-04-03T17:25:11Z,Guardian,https://www.theguardian.com/politics/live/2020/apr/03/uk-coronavirus-live-emergency-nightingale-hospital-opens-today-matt-hancock-covid-19-latest-updates
